LibraryName,CIPFACategoryName,Category,IssueDate
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,08/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,08/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,08/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,08/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,08/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,09/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,09/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,09/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,09/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,09/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,09/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,09/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,09/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,09/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,09/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,09/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,10/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,10/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,10/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,10/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,10/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,10/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,10/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,10/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,10/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,11/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,11/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,11/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,11/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,11/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,11/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,11/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,11/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,11/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,12/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,12/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,12/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,12/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,12/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,12/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,12/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,12/01/2013 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,01/01/2014 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,01/01/2014 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,01/01/2014 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,01/01/2014 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,01/01/2014 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,01/01/2014 12:00:00 AM
B&NES Mobile Libraries,Adult Fiction,Adult Fiction,01/01/2014 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,04/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,04/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,04/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,04/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,04/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,05/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,05/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,05/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,05/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,05/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,06/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,06/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,06/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,06/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,07/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,07/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,07/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,07/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,07/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,08/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,08/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,08/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,08/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,08/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,09/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,09/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,09/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,09/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,09/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,10/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,10/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,10/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,10/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,11/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,11/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,11/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,11/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,12/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,12/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,12/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,12/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,12/01/2013 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,01/01/2014 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,01/01/2014 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,01/01/2014 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,01/01/2014 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,01/01/2014 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,01/01/2014 12:00:00 AM
BANES Council Connect,Adult Fiction,Adult Fiction,01/01/2014 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,04/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,04/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,04/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,04/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,04/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,04/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,04/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,04/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,04/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,04/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,04/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,04/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,04/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,04/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,05/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,05/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,05/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,05/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,05/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,05/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,05/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,05/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,05/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,05/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,05/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,05/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,05/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,05/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,05/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,06/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,06/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,06/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,06/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,06/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,06/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,06/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,06/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,06/01/2013 12:00:00 AM
Bath Central Library,Adult Fiction,Adult Fiction,06/01/2013 12:00:00 AM
